Testosterone>20,,Testosterone<20OnlyAfterSixMonths,,Testosterone<20AlreadyBeforeSixMonths,
X,Y,X,Y,X,Y
1.000000000000007,0.9965552985747163,24.000000000000014,0.9898218168273445,33.99999999999999,0.9742188190619363
2,0.9965552985613912,25,0.9898218168273448,34.99999999999999,0.974680338218836
3.000000000000007,0.9965552990446717,26.000000000000007,0.9898218168273334,35.99999999999999,0.9746714244257586
4.000000000000007,0.996555290772573,26.999999999999993,0.9898218168274292,37.00000000000001,0.9746714789849782
5,0.9965550475912269,27.999999999999993,0.9898218168384935,38.00000000000001,0.9746714830923839
6.000000000000007,0.9965808865355622,28.999999999999993,0.9898218160434139,39.00000000000001,0.9746714825671211
7.000000000000007,0.9950453357254618,30.000000000000007,0.989821848026011,40.00000000000001,0.9746714902654515
8.000000000000007,0.9931657053636586,31.000000000000007,0.9898211530442763,40.99999999999999,0.9746715494895529
9.000000000000007,0.9931886018573156,32.00000000000001,0.9898129547106476,41.99999999999999,0.9746573170608126
10.000000000000007,0.9931885721308248,33.00000000000001,0.991090785450144,43.00000000000001,0.9754333571957668
11,0.9931885571239866,33.99999999999999,0.9912339919909091,44.00000000000001,0.9535575772507321
12,0.993188557714178,34.99999999999999,0.9919306678956128,45.00000000000001,0.9545034518211453
13.000000000000007,0.9931885577007497,35.99999999999999,0.993192750100406,46.00000000000001,0.9544048004802137
14.000000000000007,0.9931885577009045,37.00000000000001,0.9931888381401761,47.00000000000001,0.9544744750373175
15.000000000000007,0.9931885577008516,38.00000000000001,0.9931885442079155,47.99999999999999,0.9544709473492482
16.000000000000007,0.9931885577035783,39.00000000000001,0.9931885580437257,48.99999999999999,0.9544710390368433
17.000000000000014,0.9931885576236669,40.00000000000001,0.993188557695936,50.00000000000001,0.9544710376553304
18,0.9931885581100052,40.99999999999999,0.9931885577008742,51.00000000000001,0.9544710392331103
19.000000000000007,0.9931886447763779,41.99999999999999,0.9931885577009116,52.00000000000001,0.95447094922367
20.000000000000007,0.9931827699361485,43.00000000000001,0.9931885577009066,53.00000000000001,0.9544740344036314
21.000000000000007,0.993411344932926,44.00000000000001,0.9931885577009069,54.00000000000001,0.9544300430158494
