Testosterone<0.35,,0.7>Testosterone>=0.35,
X,Y,X,Y
29,0.9984876312039993,29,0.9898440900337797
56.999999999999986,0.9986095583718173,56.999999999999986,0.9904280659492363
84.99999999999999,0.9987071746739206,84.99999999999999,0.9902235022463061
112.99999999999999,0.9921269270437264,112.99999999999999,0.926859111750246
141,0.9903058569651089,140.99999999999994,0.9310788551347311
168.99999999999994,0.9902430375384554,168.99999999999994,0.9310788551347311
197,0.9882966232084656,196.99999999999994,0.927552980646627
225,0.9874377554054266,225,0.8381764036638539
253,0.9801907069526743,253,0.8369478060441866
280.99999999999994,0.9668746091754802,280.99999999999994,0.8369478060441866
309,0.9679127439095748,309,0.8369478060441866
337,0.9679325138166736,336.99999999999994,0.8369478060441864
365,0.9659185256878637,,
392.99999999999994,0.9679127439374777,,
420.9999999999999,0.9679127441376448,,
448.99999999999994,0.963820089600861,,
477.00000000000006,0.9638200896010074,,
