AMG 157,,Placebo,
X,Y,X,Y
-15,295.96966537654066,-15,279.25634470643683
15,202.9699081677831,15,258.4869821048573
29,121.37776889130095,29,224.11416901126836
43,245.90468301461033,43,394.4857824304832
57,203.34480640968877,57,281.0879904026051
85,230.65525071766245,85,422.292520601551
