Testosterone>=20,,Testosterone<20,
X,Y,X,Y
2,0.996414821742414,1.999999999999993,0.99641479834342
3.999999999999993,0.9964148217424139,4,0.9964098541980785
5.999999999999993,0.9964148217424058,6,0.9957442457413421
8,0.9964148217421049,8,0.9939318080469097
9.999999999999993,0.9964148218402472,10,0.9939299646406866
12,0.9964148482624252,12,0.9939297984000085
14,0.996418608943357,14,0.9939017288421056
16,0.996672365681922,16,0.9859311101916285
18,0.998902924363526,18,0.9839888703001305
20,0.9988480158971529,20,0.9839906614318826
22,0.9882304939320673,21.999999999999993,0.9839906966044519
24,0.9429047185644929,23.999999999999993,0.9839906967672927
26,0.8947833228802695,25.999999999999993,0.9839906967795455
28,0.8230860956799935,28,0.9839906931402502
30,0.7726230142497102,30.000000000000007,0.9839899800129036
32,0.7313319238488654,32,0.9839105490956398
34,0.7305057305676304,34,0.9789888835397641
36,0.6996214341831402,36,0.97652780589936
37.999999999999986,0.6570560772591514,38,0.9765361297453298
39.999999999999986,0.6118003207182371,40,0.97653663671142
42,0.6112683534755237,42,0.9765586743107636
43.999999999999986,0.6112669351822241,44,0.9691309286112718
45.999999999999986,0.6112669478020043,46,0.9665812602787287
48,0.6112669480001631,48.000000000000014,0.9665977343524674
50,0.6112669480015737,50,0.9666705821399812
52,0.6112669480015789,52,0.957025787339503
53.999999999999986,0.6112669480015791,53.999999999999986,0.9516594938585009
55.999999999999986,0.6112669480016033,55.999999999999986,0.9491253873147258
57.999999999999986,0.611266948004072,58,0.9295039506047423
59.999999999999986,0.6112669480107028,60,0.9169069621575121
62,0.6112669022334953,62,0.9075591324865615
64,0.6112569674192844,64,0.8945204563872744
66,0.6098951759423202,66.00000000000001,0.8792400654855981
68,0.6063011816550072,68,0.8690878105793336
70,0.6062972376196702,70,0.832827928496277
72,0.6062972972206444,71.99999999999999,0.8195699833716724
73.99999999999999,0.6062972980125584,73.99999999999999,0.8061329268189352
75.99999999999999,0.606297298017809,75.99999999999999,0.8001083371890076
77.99999999999999,0.6062972980178263,77.99999999999999,0.8001136740264048
80,0.6062972980178262,79.99999999999999,0.8001136479715336
81.99999999999999,0.6062972980178263,81.99999999999999,0.8001136552231356
84,0.6062972980178262,84,0.8001143692642649
86,0.6062972980178262,86.00000000000001,0.8001005223004574
88,0.6062972980178262,88.00000000000001,0.7841902199093107
,,90,0.7569577341105702
,,91.99999999999999,0.7479258231726387
,,93.99999999999999,0.747590066240387
,,95.99999999999999,0.7173401512882578
,,97.99999999999999,0.6925871182753243
,,99.99999999999999,0.6640774632504782
,,101.99999999999996,0.651030856420594
,,103.99999999999996,0.6510240920168929
,,105.99999999999999,0.6510241469712603
,,107.99999999999996,0.6510241478651297
,,109.99999999999996,0.6510241478715756
,,111.99999999999996,0.6510241478716006
,,113.99999999999996,0.6510241478716006
,,115.99999999999999,0.6510241478716006
,,117.99999999999999,0.6510241478716006
,,119.99999999999999,0.6510241478716006
,,121.99999999999999,0.6510241478716006
,,123.99999999999996,0.6510241478716006
,,125.99999999999999,0.6510241478715926
,,127.99999999999999,0.6510241478712525
,,130,0.6510241479604826
,,132,0.651024173173654
,,134,0.6510278555892881
,,136,0.6512860051114578
,,138,0.5442803981461299
,,140,0.48602812179778576
,,141.99999999999994,0.4511019814165642
,,143.99999999999994,0.3223395004514664
,,146,0.32054109729684377
,,147.99999999999994,0.3205466475999519
,,149.99999999999994,0.3217583227817946
,,152,0.2800620380321597
