Testosterone<20,,Testosterone20-50,
X,Y,X,Y
4.440892098500626e-16,0.0008050184015791495,0.20000000000000018,0.0032518328557034626
0.20000000000000062,0.0007252084033027573,0.39999999999999947,0.003220073610947116
0.3999999999999999,0.0004025092223738924,0.6000000000000001,0.003220073894439679
0.6000000000000001,0.00040250812115044665,0.8000000000000003,0.0036224299148591155
0.8000000000000012,0.0007983182381198772,1.0000000000000004,0.006440186896157329
1.0000000000000004,0.0020125718565013884,1.1999999999999997,0.006834467323644067
1.1999999999999997,0.0029281269319873515,1.4,0.009552375266024371
1.4,0.004427610947573157,1.6,0.019723092420098454
1.6,0.004427601208685739,1.7999999999999994,0.02334642876028853
1.7999999999999994,0.0044276012086855165,2.0000000000000004,0.023345533492383164
2.0000000000000004,0.0044276012086855165,2.2000000000000006,0.02559729845472647
2.2000000000000006,0.004427601208351506,2.4,0.0334082707881142
2.4,0.004426541061791245,2.600000000000001,0.03340826438312472
2.599999999999999,0.006843087217925592,2.8000000000000003,0.03698132451414177
2.8000000000000003,0.009258312836074922,3.0000000000000004,0.04223513357559444
3.0000000000000004,0.009258373130359376,3.2000000000000015,0.05586925069398163
3.2000000000000015,0.011672457791747692,3.400000000000001,0.060494812505871465
3.400000000000001,0.01167275514635735,3.600000000000001,0.06440147602088914
3.600000000000001,0.014458999684565932,3.8000000000000003,0.06440147210096064
3.800000000000001,0.01729243773682454,4.000000000000002,0.0642829348647127
4,0.017307895633218273,4.200000000000001,0.07245164807800264
4.200000000000001,0.01730789563395263,4.4,0.07245165612242277
4.400000000000002,0.017307895477638835,4.600000000000001,0.07224451304999585
4.600000000000001,0.018863039343220367,4.800000000000001,0.07728099786822668
4.8000000000000025,0.02194751070545381,5,0.08221065080576587
5.000000000000002,0.03184148342434373,5.200000000000003,0.08734450300271576
5.200000000000001,0.0358230462346934,5.400000000000002,0.0873444965713431
5.400000000000002,0.03582348537788754,5.600000000000001,0.08734449657134233
5.600000000000001,0.03982570651325107,5.8000000000000025,0.087344496571341
5.8000000000000025,0.041509683907722195,6.000000000000002,0.08734442315890317
6.000000000000002,0.044678526560194665,6.200000000000005,0.09410826374213196
6.200000000000005,0.04467852128764582,6.400000000000002,0.09418715297938127
6.4,0.04467852128546945,6.600000000000005,0.09418715298476549
6.600000000000003,0.04468039960748238,6.8000000000000025,0.09418715298476549
6.8000000000000025,0.05031374740037625,7.000000000000005,0.09418715298476549
7.000000000000005,0.050313650098713025,7.200000000000003,0.09418715298476549
7.200000000000001,0.05031365009869948,7.400000000000006,0.09418715298476549
7.400000000000002,0.050313650098699425,7.600000000000005,0.09418715298476549
7.600000000000005,0.05031366305035495,7.800000000000004,0.09418715319672213
7.800000000000004,0.05708343623746703,8.000000000000005,0.09744356050165007
8.000000000000005,0.056753797338046585,8.200000000000003,0.10384737443235495
8.200000000000001,0.056753797311333065,8.400000000000002,0.10889049531732459
8.400000000000002,0.056753797311333065,8.600000000000003,0.11471512325091071
8.600000000000001,0.056753797311333065,8.8,0.11471512222503291
8.8,0.056753797311333065,9.000000000000002,0.11471511682590996
9,0.0567537973113324,9.2,0.12864925235863872
9.2,0.05675381288708242,9.4,0.1288029442244263
9.399999999999999,0.06380881224054569,9.599999999999998,0.12880294425267072
9.6,0.06641401796771523,9.799999999999995,0.12880294425267072
9.799999999999997,0.06641401035024941,9.999999999999996,0.12880294425267072
9.999999999999998,0.0738233574392837,,
