PSA<0.1,,PSA>0.1,
X,Y,X,Y
0,100.034448559429,2.220446049250313e-16,100.15213614596951
0.25,100.034448559429,0.25,100.15213614596564
0.5000000000000004,100.03444855969174,0.5000000000000004,100.15213422891549
0.7500000000000004,100.03450528821313,0.7500000000000004,99.79513202814917
1,100.15776861757465,1,99.99363878058675
1.25,99.75906080876118,1.25,97.71584296235586
1.5000000000000004,99.3110399290601,1.5,96.38358232491353
1.75,98.64914444586054,1.7499999999999996,94.52587434064222
2,97.87666622741202,2,92.96864274195833
2.25,97.97981711715119,2.25,92.02939303127688
2.5,96.63706396058924,2.5,91.54455859849541
2.750000000000001,96.79642955145405,2.750000000000001,89.43840118092467
3,96.04691339948431,3,86.92168116353638
3.250000000000001,96.0455376131447,3.250000000000001,86.15021572990693
3.500000000000001,94.37032413323593,3.500000000000001,85.91301662253599
3.75,93.74241446068302,3.75,85.4417678868727
3.999999999999999,93.61852342807767,4,84.68070509451701
4.249999999999999,93.26734425973044,4.25,83.58774006290626
4.5,92.38481266803184,4.5,83.02933386763821
4.75,91.9167608774256,4.75,81.56411679737154
5,91.63514539399702,5.000000000000001,81.551160794506
5.25,91.02461772682601,5.25,80.65991610787289
5.5,90.68961579833228,5.499999999999999,79.8964839803568
5.750000000000001,90.61765424510291,5.75,78.90281720050731
6.000000000000001,89.62673865999486,6,78.36382856550613
6.249999999999999,89.77880033043952,6.249999999999997,77.50937171563758
6.499999999999999,89.4082318952565,6.499999999999999,76.61461755544934
6.749999999999999,88.45570319873912,6.749999999999999,76.65529476094252
6.999999999999999,88.58823302496565,7.000000000000001,75.16412365412597
7.249999999999999,87.60203822609347,7.250000000000001,74.15871061029472
7.499999999999999,87.69131050464857,7.499999999999999,72.72151473352227
7.749999999999999,88.0106443981312,7.749999999999999,72.43022339279143
7.999999999999999,87.60877603428116,7.999999999999999,70.64108063329294
8.25,87.98731250705119,8.25,69.55770810489165
8.5,87.13191799841147,8.5,68.55405105273243
8.75,87.4735446935157,8.75,67.64979632371399
9,86.85058657244414,9,67.43110959376055
9.25,84.43930685261392,9.25,67.43695657060167
9.5,84.40406980983244,9.5,67.43405140681043
9.75,82.28221185824935,9.75,66.26459086354407
10,81.76650443103821,10,66.23272882518353
10.25,81.52856075284384,10.25,66.33845010406415
10.5,80.43583065270887,10.5,64.54663378827847
10.75,79.74677738046597,10.75,64.61027012392157
11,80.06588287699907,11,64.60871869860776
11.25,80.26764345388338,11.25,64.61048493247353
11.5,80.03136414514529,11.5,64.5333890339343
11.749999999999996,80.20271378206769,11.75,64.60655474438772
12,79.90966448707916,12,64.61048499767423
12.25,80.02610008121175,12.249999999999996,63.98189128826796
12.5,76.84322554927874,12.5,58.39971083508425
12.75,76.69233876744283,12.75,58.585998975110165
13,77.15390580675475,13,58.6084178580024
13.25,77.02371154145314,13.25,58.60841809716878
13.499999999999996,76.53148935309073,13.5,58.608418011771974
13.75,77.02359056792368,13.75,58.59708990387768
14,77.011535700032,14,58.62000810946771
14.25,76.86221602947995,14.25,58.60811254384799
14.500000000000004,76.736426047919,14.5,58.61853884746681
14.75,76.96767287515681,14.75,58.60841546116282
15,76.96768159785341,15.000000000000004,58.504816258570294
15.25,76.96772600491906,15.25,58.62300057128175
15.5,65.52116311903384,,
15.75,51.194430933287094,,
16,51.83760952880659,,
