MEM1414,,Placebo,
X,Y,X,Y
2.970141570653169,3.1621834966076445,1.027544962545278,3.2064176178579498
6.8676573763616915,2.5892930609908555,4.531135407370883,2.6355398718583194
10.722640373175707,2.4626340661299055,12.33332207075155,2.498804178815349
15.359114045565747,2.323909533642988,16.258265575653752,2.460586926262552
20.176849034366114,2.414329515318105,20.985369906248962,2.436434650856652
31.705625262103453,2.4886241298827434,32.42351547578113,2.396157008340273
47.13390480998369,2.4925408583279838,45.18494815568597,2.5287348211866387
60.319473070173174,2.6612967339175304,59.927137720837706,2.665319463132601
91.68602836978103,2.813850391838471,90.81549704754731,2.713353711981333
121.3719414637249,2.8417921947658145,122.52191731542452,2.795553333956088
151.4788101148585,2.9018919812405137,151.81390504848542,2.82550782650059
182.37829952240025,2.9639965072746346,180.31327202513808,2.853457579485671
211.62735694367979,2.9396799306754966,211.47153581202883,2.742696050080064
241.63723489041837,2.8771673016775288,240.75239346425752,2.758580265439178
272.43973359356517,2.8166594122389816,271.13075658711966,2.6618943132574504
302.06045621406327,2.7621895916519095,300.33370367352296,2.5792865883188476
330.4564724401311,2.6594867707726726,330.6691364846037,2.4283295669934803
360.8491456669204,2.5808911749721584,360.65516425813036,2.3356663440268237
391.23704885906733,2.496265460377906,391.055787542657,2.267120946215872
420.48292625725185,2.4679288045829435,420.662200059228,2.1945607692475866
450.8724194609463,2.3853131295866037,451.55532942057994,2.248625136890057
480.85208718828324,2.2846097482282968,480.3102907534866,2.099688755239585
510.95100578167944,2.3346593367134334,510.72840416503516,2.0532537930056716
540.5860385061046,2.2982798725075746,540.8400428508112,2.1193836982741088
570.2099411496976,2.2478301311163276,570.0143697293602,2.00059526057308
599.911754359116,2.295872330022797,600.4706434180479,2.0024012486890688
