AMG 157,,Placebo,
X,Y,X,Y
0.15506520069589147,0.03832108208077312,0.04259595943764394,0.1557920473958836
0.2624053727881135,-26.99246116953748,0.1687792893751081,-32.17207654812469
0.42750928639719143,-29.213438239581208,0.3643833362067612,-33.0689779477454
0.6680406877419558,-28.591602275755058,0.5105755215272008,-30.031816685735777
0.8480243875679827,-22.36086077457173,0.7727340407190884,-25.125777784743665
1.1674117988182373,-16.94881118442707,1.024990987884582,-17.843831794743195
1.6536173847624713,-12.784038368101815,1.5265152108835007,-12.978073131357462
2.1520559378085666,-9.67094023791985,2.0851997554973893,-7.645251790668155
3.153417550898861,-8.897544002633108,3.0695284704480974,-8.54654169866621
4.194838017021143,-9.370719245176563,4.0950817359685265,-10.032286883061927
5.128479460213469,-15.062379511935173,5.075364794758867,-13.231509490149367
6.150741344450886,-18.417629265081576,6.028576242496435,-15.807407175211196
7.12677303575067,-24.031628606805317,7.037370891650863,-18.81204645549582
