nTG DC+ PBS,,Tg DC- PBS,,nTG DC+ OVA,,Tg DC- OVA,
X,Y,X,Y,X,Y,X,Y
1.563,6.117353308364613,1.563,16.604244694132262,1.563,46.31710362047443,1.563,39.32584269662925
3.125,20.099875156054964,3.125,27.09113607990014,3.125,107.49063670411988,3.125,85.64294631710368
6.25,48.93882646691645,6.25,92.63420724094885,6.25,302.3720349563047,6.25,153.8077403245943
12.5,106.6167290886392,12.5,146.81647940074913,12.5,468.414481897628,12.5,194.00749063670423
25,309.36329588014985,25,208.86392009987514,25,595.1310861423221,25,289.2634207240949
