Testosterone>25,,Testosterone<=25,
X,Y,X,Y
5.684341886080802e-14,1.002400347991145,5.684341886080802e-14,1.003993989243913
10.000000000000028,1.002400347991145,10.000000000000028,1.0040043280008162
20.000000000000057,1.002400347991145,20.000000000000057,1.0039936458849366
30.000000000000057,1.002400347991145,30.000000000000057,1.0039939935571782
40.00000000000006,1.002400347991145,40.00000000000006,1.0039939893724128
50.00000000000006,1.002400347991145,50.00000000000006,1.0039939892361833
60,1.002400347991145,60,1.0039939892440815
70.00000000000006,1.002400347991145,70.00000000000006,1.003993989243913
80.00000000000006,1.002400347991145,80.00000000000006,1.0039939892439127
90.00000000000006,1.002400347991145,90.00000000000006,1.003993989243913
100.00000000000006,1.002400347991145,100.00000000000006,1.003993989243913
110.00000000000006,1.002400347991143,110.00000000000006,1.0039939892439167
120.00000000000006,1.0024003479913046,120.00000000000006,1.003993989243614
130.00000000000006,1.0024003479863266,130.00000000000006,1.0039939892529324
140.00000000000006,1.0024003479916914,140.00000000000006,1.0039939892428897
150.00000000000006,1.0024003537522055,150.00000000000006,1.0039939784595038
160.00000000000006,1.002400082967466,160.00000000000006,1.0039944853546032
170.00000000000006,1.002404785085024,170.00000000000006,1.0039856832324818
180.00000000000006,1.0025470284360067,180.00000000000006,1.0037194109985696
190.00000000000006,0.9822542818023423,190.00000000000006,1.003237440920781
200.00000000000006,0.9542327868817791,200.00000000000006,0.9856688874647953
210.00000000000006,0.9466111060143886,210.00000000000006,0.9736974657835703
220.0000000000001,0.9168730632855988,220.0000000000001,0.9626910287984494
230.00000000000006,0.911555909088518,230.00000000000006,0.9625487534832793
240.00000000000006,0.9106094548044582,240.00000000000006,0.9626630304120384
250.0000000000001,0.8872031759986445,250.0000000000001,0.9584161360914807
260.0000000000001,0.8797985721439902,260.0000000000001,0.9252588523072767
270.00000000000006,0.8579552350127956,270.00000000000006,0.8900665076766017
280.00000000000006,0.8111497008380483,280.00000000000006,0.8499341573156816
289.99999999999994,0.7583471740557305,289.99999999999994,0.8158853478824979
299.99999999999994,0.6984942798286022,299.99999999999994,0.804587498161611
310.00000000000006,0.6871318976952575,310.00000000000006,0.7781940745841229
320.00000000000006,0.6703499738033833,320.00000000000006,0.7740768078265864
330.00000000000006,0.6461824200979498,330.00000000000006,0.7419432699423288
340.00000000000006,0.6291932472000483,340.00000000000006,0.7215235785786074
349.99999999999994,0.6039837771561414,349.99999999999994,0.6890855827635185
360.00000000000006,0.5951971500653608,360.00000000000006,0.6657504086166774
370.00000000000006,0.578294518181319,370.00000000000006,0.6595899530308652
380.00000000000006,0.5263574847107304,380.00000000000006,0.6565971739077899
390.00000000000006,0.5016038796037697,390.00000000000006,0.6470108358668842
399.99999999999994,0.4578927815986459,399.99999999999994,0.6342511855063613
410.00000000000006,0.4287367562704507,410.00000000000006,0.6089176641541195
420.00000000000006,0.4111272360055467,420.00000000000006,0.5649983666064399
430.00000000000006,0.3819741050353902,430.00000000000006,0.521954930489988
440.00000000000006,0.3497297162455717,440.00000000000006,0.503913039258816
450.00000000000006,0.32574173457221667,450.00000000000006,0.49434936906400884
460.00000000000006,0.30379268227722445,460.00000000000006,0.48070651097644035
470.00000000000006,0.2929986821545575,470.00000000000006,0.4724638073912353
480.00000000000006,0.2651081455599944,480.00000000000006,0.4717097160467316
490.00000000000006,0.2470129167142463,490.00000000000006,0.4717172068966071
500.00000000000006,0.2344836444251328,500.00000000000006,0.46778431943905496
510.00000000000006,0.22429777369746373,510.00000000000006,0.4613485362562023
520,0.22345249104832665,520,0.4524104102184967
530,0.2014906991797606,530,0.4525880172025175
540,0.16521198726861896,540,0.45266071715084066
550,0.150827915412031,550,0.45034802081162084
560.0000000000002,0.1498021080306271,560.0000000000002,0.44383446433567775
570,0.1498019274531075,570,0.4306946597957726
580,0.14980132049631445,580,0.42565078620852503
590,0.14981874118065486,590,0.41675897072204915
600,0.15033016521262088,600,0.4116603422949279
610,0.13363692705666974,610,0.40578360603472285
620,0.12179650673906894,620,0.3982310835516123
630,0.11314889880341905,630,0.3869133441371049
