Testosterone>=8,,Testosterone<8,
X,Y,X,Y
-7.105427357601002e-15,0.9933415536374818,1.999999999999993,0.995957161671309
1.999999999999993,0.9959694410782334,3.999999999999993,0.9960429301669552
3.999999999999993,0.9960418397574717,5.999999999999993,0.991322236667699
5.999999999999993,0.991514582118813,7.999999999999993,0.9881921254216218
7.999999999999993,0.9830174977540959,9.999999999999993,0.9881130958350579
9.999999999999993,0.9828847478063852,12,0.9881135239732508
12,0.9828853135964153,14,0.9881145294980791
14,0.982885326746113,16,0.9864733230950737
16,0.9828853252067905,17.999999999999993,0.9855035360724551
17.999999999999993,0.9828852193399978,19.999999999999993,0.9854989902464414
19.999999999999993,0.9828991494495201,21.999999999999993,0.9854483672113511
21.999999999999993,0.9792922591364264,23.999999999999993,0.9828415337114479
23.999999999999993,0.9650245130646012,25.999999999999993,0.9828839557721735
25.999999999999993,0.9489742826094367,27.999999999999993,0.9828853191562273
27.999999999999993,0.9330464059900632,30,0.9828876567791761
30,0.9167550039712763,32,0.9830785422852534
32,0.9071959383640219,33.999999999999986,0.9679317807357471
33.999999999999986,0.90712537352546,35.999999999999986,0.9672096969269742
35.999999999999986,0.8912600835706599,37.999999999999986,0.9672009769534566
37.999999999999986,0.8785486856896402,39.999999999999986,0.9672049408798931
39.999999999999986,0.8707009590428137,42,0.9673420307869213
42,0.87048148751431,44,0.953319422205013
44,0.8704808720220312,46,0.9488938393042023
46,0.8704808876816642,48,0.9489059847461494
48,0.8704808877648296,50,0.94959746561736
50,0.8704808817850727,52,0.9359888952795383
52,0.8704809375505587,54,0.9305837906375738
54,0.8705555331368069,56,0.930804285627891
56,0.859118847546247,57.999999999999986,0.9143339046618811
57.999999999999986,0.8370508813932757,59.999999999999986,0.9121488929539632
59.999999999999986,0.8184728628478877,61.999999999999986,0.889912873069253
61.999999999999986,0.8179548936947166,63.999999999999986,0.8893895189474368
63.999999999999986,0.7981957772119334,65.99999999999999,0.8730270042967798
65.99999999999999,0.792060268940548,67.99999999999999,0.8570606543542301
67.99999999999999,0.7838704111989517,69.99999999999999,0.8449055372082797
69.99999999999999,0.7460031788216239,71.99999999999999,0.8241944498482596
71.99999999999999,0.7344961991633003,73.99999999999999,0.7997938859675415
73.99999999999999,0.7345494207477324,75.99999999999999,0.7973335961759197
75.99999999999999,0.7345499403872507,77.99999999999999,0.7972884505036231
77.99999999999999,0.734549938398674,80,0.7972873015436641
80,0.7345499383517813,82,0.7972869462441883
82,0.7345499354421801,84,0.7972613721640548
84,0.7345497251181963,86,0.7942318929884163
86,0.7345752752027928,88,0.7721843350834765
88,0.738500310556462,89.99999999999999,0.7606875176145735
89.99999999999999,0.633027925707746,91.99999999999999,0.7606942188955546
91.99999999999999,0.6304742476205963,93.99999999999996,0.7607963580143253
93.99999999999996,0.578859952904347,95.99999999999996,0.7630892664313873
95.99999999999996,0.5265394574669943,97.99999999999996,0.7346705960069186
97.99999999999996,0.5254324670444351,99.99999999999996,0.6781037094710229
99.99999999999996,0.5254253402127759,101.99999999999996,0.6718366514776228
101.99999999999996,0.525425399925464,103.99999999999999,0.6718125420589076
103.99999999999999,0.5254254007410124,105.99999999999999,0.6718125749292004
105.99999999999999,0.5254254007399006,107.99999999999999,0.6718125770589605
107.99999999999999,0.5254254007398286,109.99999999999996,0.6718125770655016
109.99999999999996,0.5254254007398284,111.99999999999996,0.6718125770653522
111.99999999999996,0.5254254007398282,113.99999999999996,0.6718125770653511
113.99999999999996,0.5254254007398282,115.99999999999996,0.6718125770653511
115.99999999999996,0.5254254007398282,117.99999999999996,0.6718125770653511
117.99999999999996,0.5254254007398282,119.99999999999996,0.6718125770653511
119.99999999999996,0.5254254007398282,121.99999999999996,0.6718125770653511
121.99999999999996,0.5254254007398282,123.99999999999996,0.6718125770653514
123.99999999999996,0.5254254007398282,125.99999999999996,0.6718125770653788
125.99999999999996,0.525425400739829,127.99999999999996,0.6718125770638557
127.99999999999996,0.525425400739787,129.99999999999994,0.6718125766550037
129.99999999999994,0.5254254007285377,131.99999999999994,0.6718125740338768
131.99999999999994,0.5254254006564181,133.99999999999994,0.671817370145415
133.99999999999994,0.5254255326197576,135.99999999999994,0.6721206408408082
135.99999999999994,0.5254338770073561,137.99999999999994,0.5809210374116459
137.99999999999994,0.5231251502681978,139.99999999999994,0.4510311818063857
139.99999999999994,0.5254506129325813,141.99999999999994,0.34123725255235426
141.99999999999994,0.5254253120587501,144,0.22551877315598312
144,0.5254253983096456,146,0.2221997949533614
146,0.5254254007361349,148,0.22223939622038635
148,0.5254254007402389,150,0.225674542389512
,,152,0.12415950399604825
